0.2553384304046631 [125  89 114]
0.15933488309383392 [94 36 58]
0.1497785449028015 [ 81  47 106]
0.1497785449028015 [ 81  47 106]
0.1497785449028015 [ 81  47 106]
0.1497785449028015 [ 81  47 106]
0.1497785449028015 [ 81  47 106]
0.14749155938625336 [ 41  37 119]
0.14749155938625336 [ 41  37 119]
0.14749155938625336 [ 41  37 119]
0.14749155938625336 [ 41  37 119]
0.14749155938625336 [ 41  37 119]
0.14749155938625336 [ 41  37 119]
0.14749155938625336 [ 41  37 119]
0.14749155938625336 [ 41  37 119]
0.14749155938625336 [ 41  37 119]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
0.1384555548429489 [128  47 128]
ACC 0.8753568030447193
