0.1560446172952652 [31 65 36]
0.14845557510852814 [ 18  65 105]
0.14470937848091125 [ 92  17 124]
0.14470937848091125 [ 92  17 124]
0.14470937848091125 [ 92  17 124]
0.1415971964597702 [112  59 118]
0.1415971964597702 [112  59 118]
0.1250167042016983 [ 74  58 128]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
0.09334663301706314 [106  88 107]
ACC 0.9188660801564027
