0.2833210229873657 [53 65 80]
0.2707795798778534 [ 33 110  82]
0.2589591443538666 [123  85  23]
0.2589591443538666 [123  85  23]
0.25135892629623413 [ 82 128  43]
0.25135892629623413 [ 82 128  43]
0.25135892629623413 [ 82 128  43]
0.25135892629623413 [ 82 128  43]
0.25135892629623413 [ 82 128  43]
0.25135892629623413 [ 82 128  43]
0.25135892629623413 [ 82 128  43]
0.25135892629623413 [ 82 128  43]
0.25135892629623413 [ 82 128  43]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.21244387328624725 [103  62 109]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
0.19521772861480713 [128  74 123]
ACC 0.8478468899521531
