0.2455264776945114 [ 69  96 116]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
0.16903236508369446 [ 95 105  66]
ACC 0.8688827331486612
