0.24169538915157318 [64 57 96]
0.2225731462240219 [97 86 33]
0.2225731462240219 [97 86 33]
0.2121070921421051 [ 64  57 128]
0.2101740688085556 [ 19  91 128]
0.2101740688085556 [ 19  91 128]
0.2101740688085556 [ 19  91 128]
0.2101740688085556 [ 19  91 128]
0.2101740688085556 [ 19  91 128]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.2076471596956253 [ 23 115  96]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
0.18517868220806122 [104 116  42]
ACC 0.8731848983543078
