1.0221097469329834 [127  85  47]
0.8534279465675354 [78 88 99]
0.7513830661773682 [119 107  71]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.6719716787338257 [121  57 109]
0.5180165767669678 [128  82 128]
0.5180165767669678 [128  82 128]
0.5180165767669678 [128  82 128]
0.5180165767669678 [128  82 128]
0.5180165767669678 [128  82 128]
ACC 0.755533199195171
