0.9064106345176697 [81 75 98]
0.8657152652740479 [113  87 103]
0.8356649279594421 [ 51 107  55]
0.8356649279594421 [ 51 107  55]
0.7864976525306702 [128  41  96]
0.7747177481651306 [109 128  55]
0.7747177481651306 [109 128  55]
0.7325541973114014 [119 111  41]
0.7325541973114014 [119 111  41]
0.7325541973114014 [119 111  41]
0.7325541973114014 [119 111  41]
0.7325541973114014 [119 111  41]
0.7325541973114014 [119 111  41]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
0.6894345283508301 [128  67 102]
ACC 0.755533199195171
