0.8223614692687988 [ 97 112  83]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6795967817306519 [ 98 109  95]
0.6639499664306641 [ 41  41 128]
0.6639499664306641 [ 41  41 128]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
0.5670188069343567 [125 128  73]
ACC 0.7660984848484849
