0.8126611709594727 [125 114  68]
0.7383660078048706 [112 118  93]
0.7383660078048706 [112 118  93]
0.7054166197776794 [128 116  57]
0.7054166197776794 [128 116  57]
0.7054166197776794 [128 116  57]
0.7054166197776794 [128 116  57]
0.7054166197776794 [128 116  57]
0.7054166197776794 [128 116  57]
0.7054166197776794 [128 116  57]
0.7054166197776794 [128 116  57]
0.7054166197776794 [128 116  57]
0.7054166197776794 [128 116  57]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
0.5567424297332764 [128 128  41]
ACC 0.7521613832853026
