0.9799934029579163 [56 94 79]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.679544985294342 [ 59  61 109]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
0.6307030320167542 [111  96  55]
ACC 0.7512100677637947
