0.7660297155380249 [125  75  53]
0.7660297155380249 [125  75  53]
0.7397336363792419 [ 58 100  85]
0.6082686185836792 [ 44 107  92]
0.6082686185836792 [ 44 107  92]
0.6082686185836792 [ 44 107  92]
0.6082686185836792 [ 44 107  92]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
0.5435243844985962 [ 75  73 128]
ACC 0.808206106870229
