1.0889496803283691 [112 114 127]
0.9811108112335205 [112 114 127]
0.9148349761962891 [112 114 127]
0.9148349761962891 [112 114 127]
0.9148349761962891 [112 114 127]
0.9148349761962891 [112 114 127]
0.9144068360328674 [ 99 120  80]
0.8117156624794006 [ 62 102  97]
0.8117156624794006 [ 62 102  97]
0.8117156624794006 [ 62 102  97]
0.8117156624794006 [ 62 102  97]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
0.744794487953186 [128  88  61]
ACC 0.7779868297271872
