1.0036342144012451 [93 91 91]
0.8255005478858948 [124 107  71]
0.818215548992157 [ 60  41 106]
0.818215548992157 [ 60  41 106]
0.818215548992157 [ 60  41 106]
0.818215548992157 [ 60  41 106]
0.818215548992157 [ 60  41 106]
0.818215548992157 [ 60  41 106]
0.818215548992157 [ 60  41 106]
0.818215548992157 [ 60  41 106]
0.818215548992157 [ 60  41 106]
0.818215548992157 [ 60  41 106]
0.8123959302902222 [ 77 120  42]
0.8123959302902222 [ 77 120  42]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
0.757051408290863 [128 107  41]
ACC 0.7610536218250236
